Lookup Key 1,Lookup Key 2,Source,Date,Campaign Name ID,Campaign ID,Campaign External ID,Clean Publisher,Site ID,Placement Name,DCM Placement ID,Creative Name,Creative ID,Net Media Cost,Publisher Impressions
43352223691804,43352Facebook»AZR»1x1»SocialBan»NA»ALL»DYN»AUT»D»All»SS»NA»Free Acc Refresh - T1 - EN,Appended from Pub-Facebook,09/09/2018,CAN_gaPMG_AZR_AZR_Q1_19_Trial-Social,21337220,720192,Facebook,3654128,Facebook»AZR»1x1»SocialBan»NA»ALL»DYN»AUT»D»All»SS»NA»Free Acc Refresh - T1 - EN,223691804,AzurePlatform_FBCTCBrandinMotion_CAN_1080x1080_SOC_12s_ISV_FR_Standard_NA_FTR_T2_1,105130128,10.61,527.0
43352223691807,43352Facebook»AZR»1x1»SocialBan»NA»ALL»DYN»AUT»D»All»SS»NA»Free Acc Refresh - T3 - EN,Appended from Pub-Facebook,09/09/2018,CAN_gaPMG_AZR_AZR_Q1_19_Trial-Social,21337220,720192,Facebook,3654128,Facebook»AZR»1x1»SocialBan»NA»ALL»DYN»AUT»D»All»SS»NA»Free Acc Refresh - T3 - EN,223691807,AzurePlatform_FBCTCBrandinMotion_CAN_1080x1080_SOC_12s_ISV_FR_Standard_NA_FTR_T2_1,105130128,13.17,555.0
43352223691810,43352Facebook»AZR»1x1»SocialBan»NA»ALL»DYN»AUT»D»All»SS»NA»Free Acc Refresh - T2 - EN,Appended from Pub-Facebook,09/09/2018,CAN_gaPMG_AZR_AZR_Q1_19_Trial-Social,21337220,720192,Facebook,3654128,Facebook»AZR»1x1»SocialBan»NA»ALL»DYN»AUT»D»All»SS»NA»Free Acc Refresh - T2 - EN,223691810,AzurePlatform_FBCTCBrandinMotion_CAN_1080x1080_SOC_12s_ISV_FR_Standard_NA_FTR_T2_1,105130128,28.89,1295.0
43352223691813,43352Facebook»AZR»1x1»SocialBan»NA»ALL»DYN»AUT»D»All»SS»NA»Free Acc Refresh - T4 - EN,Appended from Pub-Facebook,09/09/2018,CAN_gaPMG_AZR_AZR_Q1_19_Trial-Social,21337220,720192,Facebook,3654128,Facebook»AZR»1x1»SocialBan»NA»ALL»DYN»AUT»D»All»SS»NA»Free Acc Refresh - T4 - EN,223691813,AzurePlatform_FBCTCBrandinMotion_CAN_1080x1080_SOC_12s_ISV_FR_Standard_NA_FTR_T2_1,105130128,83.89,5032.0
43352223691816,43352Facebook»AZR»1x1»SocialBan»NA»ALL»DYN»AUT»D»All»SS»NA»Free Acc Refresh - T5 - EN,Appended from Pub-Facebook,09/09/2018,CAN_gaPMG_AZR_AZR_Q1_19_Trial-Social,21337220,720192,Facebook,3654128,Facebook»AZR»1x1»SocialBan»NA»ALL»DYN»AUT»D»All»SS»NA»Free Acc Refresh - T5 - EN,223691816,AzurePlatform_FBCTCBrandinMotion_CAN_1080x1080_SOC_12s_ISV_FR_Standard_NA_FTR_T2_1,105130128,30.99,1123.0
43352223691819,43352Facebook»AZR»1x1»SocialBan»NA»ALL»DYN»RT»D»All»SS»NA»Free Account Retargeting Generic - T3 - EN,Appended from Pub-Facebook,09/09/2018,CAN_gaPMG_AZR_AZR_Q1_19_Trial-Social,21337220,720192,Facebook,3654128,Facebook»AZR»1x1»SocialBan»NA»ALL»DYN»RT»D»All»SS»NA»Free Account Retargeting Generic - T3 - EN,223691819,AzurePlatform_FBCTCBrandinMotion_CAN_1080x1080_SOC_12s_ISV_FR_Standard_NA_FTR_T2_1,105130128,9.92,364.0
43352223691822,43352Facebook»AZR»1x1»SocialBan»NA»ALL»DYN»RT»D»All»SS»NA»Free Account Retargeting VM - T2 - EN,Appended from Pub-Facebook,09/09/2018,CAN_gaPMG_AZR_AZR_Q1_19_Trial-Social,21337220,720192,Facebook,3654128,Facebook»AZR»1x1»SocialBan»NA»ALL»DYN»RT»D»All»SS»NA»Free Account Retargeting VM - T2 - EN,223691822,AzurePlatform_FBCTCBrandinMotion_CAN_1080x1080_SOC_12s_ISV_FR_Standard_NA_FTR_T2_1,105130128,30.87,1206.0
43352223691825,43352Facebook»AZR»1x1»SocialBan»NA»ALL»DYN»RT»D»All»SS»NA»Free Account Retargeting VM - T1 - EN,Appended from Pub-Facebook,09/09/2018,CAN_gaPMG_AZR_AZR_Q1_19_Trial-Social,21337220,720192,Facebook,3654128,Facebook»AZR»1x1»SocialBan»NA»ALL»DYN»RT»D»All»SS»NA»Free Account Retargeting VM - T1 - EN,223691825,AzurePlatform_FBCTCBrandinMotion_CAN_1080x1080_SOC_12s_ISV_FR_Standard_NA_FTR_T2_1,105130128,166.56,4079.0
43352223691828,43352Facebook»AZR»1x1»SocialBan»NA»ALL»DYN»RT»D»All»SS»NA» Free Account Retargeting OSS - T1 - EN,Appended from Pub-Facebook,09/09/2018,CAN_gaPMG_AZR_AZR_Q1_19_Trial-Social,21337220,720192,Facebook,3654128,Facebook»AZR»1x1»SocialBan»NA»ALL»DYN»RT»D»All»SS»NA» Free Account Retargeting OSS - T1 - EN,223691828,AzurePlatform_FBCTCBrandinMotion_CAN_1080x1080_SOC_12s_ISV_FR_Standard_NA_FTR_T2_1,105130128,5.82,375.0
43352223691831,43352Facebook»AZR»1x1»SocialBan»NA»ALL»DYN»RT»D»All»SS»NA» Free Account Retargeting OSS - T2 - EN,Appended from Pub-Facebook,09/09/2018,CAN_gaPMG_AZR_AZR_Q1_19_Trial-Social,21337220,720192,Facebook,3654128,Facebook»AZR»1x1»SocialBan»NA»ALL»DYN»RT»D»All»SS»NA» Free Account Retargeting OSS - T2 - EN,223691831,AzurePlatform_FBCTCBrandinMotion_CAN_1080x1080_SOC_12s_ISV_FR_Standard_NA_FTR_T2_1,105130128,95.92,4140.0
